nom,auteur,editeur,nb_joueurs,age_min,duree,type_jeu,notice,themes,description,image,logo
Totemix,François Berdeaux,Les éditions du Crapaud Céleste,1 à 6 joueurs,10 ans,30 mn,Tout public,https://www.play-in.com/pdf/rules_games/totemix_-_regles_fr.pdf,Ecologie,"Vous devrez renouer des liens ancestraux et collectivement retisser la trame d’une connexion perdue. Les civilisations premières avaient pactisé avec des animaux Totems liés à leur environnement. Six animaux totems à reconstituer pour six environnements à sauver.Vous devrez coordonner vos actions respectives, en temps réel et mixer vos Totems afin d’optimiser vos stratégies pour reconstituer le puzzle choisi en début de partie. Coopération, placement de tuile, temps réel, puzzle dynamique sont les maîtres mots de ce jeu qui se joue contre la montre",https://cdn1.philibertnet.com/567006-large_default/totemix-ulule.jpg,https://www.crapaudceleste.com/templates/technicar/images/logocrapaudpetit.png
Agartha,"Jérôme Léon, Nicolas Melet, Jérôme Soleil",404 Editions,2 à 4 joueurs,10 ans,60 mn,Tout public,https://cdn.1j1ju.com/medias/c3/ab/bf-agartha-regle.pdf,Mythologie,"Rolhnir a passé sa vie à explorer des mondes souterrains. Il vous a laissé un héritage inestimable : les cartes d’Agartha. Vous êtes ses descendants, prêts à reprendre le flambeau et à explorer le monde. Pour retrouver ses cartes secrètes, vous devrez marcher sur les traces de votre ancêtre et parcourir des terres inconnues en quête d’informations.",https://cdn2.philibertnet.com/537696-thickbox_default/agartha.jpg,https://cf.geekdo-images.com/Sdan0Xj7oc6F_RuNL1xGlA__itemrep/img/gAe6AHf2fpQlbJdv8dteXOuQKi0=/fit-in/246x300/filters:strip_icc()/pic6553140.jpg
Gyojin Fighter Sushido,JEMS,404 Editions,2 joueurs,14 ans,60 mn,Initiés,https://www.crique-aux-jeux.fr/wp-content/uploads/404ED0520-gyojin-fighter-sushido-regles.pdf,"Duel, Japon",Deux silhouettes se font face : leurs regards se croisent. Elles bondissent pour faire chanter leurs lames au rythme des tambours de guerre. Un combat s’engage dans l’Arène : la victoire se fera par K.O !,https://cdn2.philibertnet.com/532996-thickbox_default/gyojin-fighter-sushido.jpg,https://cf.geekdo-images.com/Sdan0Xj7oc6F_RuNL1xGlA__itemrep/img/gAe6AHf2fpQlbJdv8dteXOuQKi0=/fit-in/246x300/filters:strip_icc()/pic6553140.jpg
Osirium,d'Alain T. Puysségur,404 Editions,2 à 4 joueurs,12 ans,30 mn,Tout public,https://www.youtube.com/watch?v=PNQqLIwSkqs,"Archéologie, Antiquité","Osirium est un jeu de stratégie et de placement de 2 à 4 joueurs où il faut réaliser des combos d’Amulettes sur un plateau, pour accomplir des Rituels (simples ou avancés) ainsi qu’un objectif caché distribué en début de partie, et ce afin d’honorer notre Dieu.",https://cdn2.philibertnet.com/516368-large_default/osirium.jpg,https://cf.geekdo-images.com/Sdan0Xj7oc6F_RuNL1xGlA__itemrep/img/gAe6AHf2fpQlbJdv8dteXOuQKi0=/fit-in/246x300/filters:strip_icc()/pic6553140.jpg
Vol de Nuit,"Nicolas Minor, Louis-Arnaud Viard, Ronan Legendre, Paul Réguème",404 Editions,2 à 5 joueurs,12 ans,60 mn,Tout public,https://regle.escaleajeux.fr/voldn_rg.pdf,"Aventure, Transports","Dans ce jeu coopératif et familial inspiré du roman d’Antoine de Saint-Exupéry paru en 1931, les joueurs incarnent une équipe de pilotes de l’Aéropostale, chargés de livrer le courrier venu de Patagonie. Cependant, de nombreux dangers les guettent : tempête, vent, brume et autres perturbations agitent le ciel. Leur seul moyen de gagner : communiquer et coopérer, garder espoir et surtout arriver vivants.",https://cdn2.philibertnet.com/505464-large_default/vol-de-nuit.jpg,https://cf.geekdo-images.com/Sdan0Xj7oc6F_RuNL1xGlA__itemrep/img/gAe6AHf2fpQlbJdv8dteXOuQKi0=/fit-in/246x300/filters:strip_icc()/pic6553140.jpg
Living Forest + ext Kodama,Aske Christiansen,Ludonaute,2 à 4 joueurs,8 ans,45 mn,Initiés,https://www.data.ludonaute.fr/Living_Forest_Kodama/Rules/FR_LivingForestKodama_Rules.pdf,"Nature, Fantastique","Dans cette extension de Living Forest, le terrible Onibi est plus dangereux que jamais... Il a pénétré le Cercle des Esprits et attaque férocement l’Arbre sacré. Mais, dans cette bataille, les Esprits de la nature reçoivent l’aide des Kodama, des petits êtres de lumière envoyés par Sanki.",https://cdn1.philibertnet.com/569180-large_default/living-forest-kodama.jpg,https://www.ludonaute.fr/wp-content/uploads/2014/12/LOGO.png
Colt Express + Convoyeurs,Christophe Raimbault,Ludonaute,2 à 6 joueurs,7 ans,20 mn,Tout public,https://cdn.1j1ju.com/medias/73/bc/cc-colt-express-convoyeurs-train-blinde-regle.pdf,Western,"Quand le train de Colt Express croise celui de l’Union Pacific qui transporte de précieux documents top secrets, nos célèbres bandits n’hésitent pas une seconde… Ils sautent d’un train à l’autre et jouent en équipe pour tenter de les dérober. Mais attention, les shotguns rodent et la Gatling sur le toit ne laisse rien présager de bon",https://cdn3.philibertnet.com/554071-large_default/colt-express-convoyeurs-train-blinde.jpg,https://www.ludonaute.fr/wp-content/uploads/2014/12/LOGO.png
Nimalia,William Liévin,La Boite de Jeu,2 à 4 joueurs,10 ans,30 mn,Tout public,https://www.youtube.com/watch?v=KWD07m8eC4o,"Nature, Animaux","Créez la plus belle réserve animalière, où tous les animaux vivent en harmonie. Disposez vos cartes animaux en respectant les objectifs successifs, différents à chaque partie. Ils vous feront gagner des points à chaque manche. Saurez-vous bâtir la meilleure des réserves ?",https://cdn3.philibertnet.com/571519-large_default/nimalia.jpg,https://www.laboitedejeu.fr/wp-content/uploads/2017/06/cropped-cropped-logo-lbdj.png
Little Secret,Ben & JB,ATM Gaming,3 à 9 joueurs,10 ans,15 mn,Tout public,https://cdn.shopify.com/s/files/1/0567/2986/2204/files/Flyer_Little_Secret.pdf?v=1657630660,Comtemporain,"Le but de Little Secret est d’éliminer les joueurs qui possèdent un mot de passe différent du sien. C'est un jeu intuitif de bluff, d’imagination et d’association de mots. Idéal pour des soirées entre amis ou en famille !",https://cdn1.philibertnet.com/547730-large_default/little-secret.jpg,https://www.atmgaming.eu/wp-content/uploads/2022/04/ATM_Logo.svg
Caral,Klaus-Jürgen Wrede,Blue Cocker Games,2 à 4 joueurs,12 ans,90 mn,Tout public,https://cdn.1j1ju.com/medias/37/cf/08-caral-regle.pdf,Antiquité,"Caral, plus vieille ville des Amériques (4500 ans), a besoin de votre famille de Caralis et de vos troupeaux d’alpagas pour aider le grand prêtre à construire au moins 7 pyramides et la grande pyramide où se déroule la cérémonie de sacrifice annuelle.",https://cdn3.philibertnet.com/552607-large_default/caral.jpg,https://bluecocker.com/wp-content/themes/bluecockerunderscore/images/logo.svg
District Noir,"Nao Shimamura, Nobutake Dogen",Spiral édition,2 joueurs,10 ans,15 mn,Tout public,https://cdn.1j1ju.com/medias/2d/85/fb-district-noir-regle.pdf,Lutte de territoire entre gangsters,District Noir est un jeu avec de la prise de risque et du bluff.En plus de faire les bons choix il faudra aussi essayer d'amener son adversaire à en faire de mauvais.,https://cdn2.philibertnet.com/557209-large_default/district-noir.jpg,https://subverti.com/assets/img/maps/publishers/spiral-editions/logo.webp
Mimetix,Coralie Dussart,Blackrock Games,3 à 12 joueurs,14 ans,30 mn,Ambiance,https://cdn.1j1ju.com/medias/e0/22/5e-mimetix-regle.pdf,"Devinettes, Expressions","Le jeu est simple : mimer et faire deviner le plus d'expressions possibles à votre équipe dans un temps imparti. Extrêmement drôle, convient à tous les types de joueurs (jeunes, ados, adultes, parents, famille, amis) et à toutes les situations (apéros, grandes tablées, vacances..), facile à transporter, culturel (permet de mieux connaître et maitriser la langue française).",https://cdn3.philibertnet.com/447115-large_default/mimetix.jpg,https://blackrockgames.fr/assets/img/logo_white.png
La Bête,Charlec,Multivers,2 à 5 joueurs,10 ans,60 mn,Tout public,https://www.philibertnet.com/fr/index.php?controller=attachment&id_attachment=5956,Bête du Gévaudan,La Bête est un jeu asymétrique opposant un joueur endossant le rôle de la Bête du Gévaudan à un ou plusieurs joueurs incarnant les Enquêteurs historiques dans la Lozère de la France du XVIIIème siècle.,https://cdn2.philibertnet.com/551507-large_default/la-bete.jpg,https://cf.geekdo-images.com/rZSBwfRKdt54FaWCGT2xSA__itemrep/img/ta0mDGFEfq901evcV2ANwzvJFKo=/fit-in/246x300/filters:strip_icc()/pic6158179.jpg
The Lost Code,Leo Colovini,Ludistri,2 à 4 joueurs,10 ans,45 mn,Initiés,https://cdn.1j1ju.com/medias/4e/2c/b1-the-lost-code-regle.pdf,Aventure,"The Lost Code est un jeu de déduction intelligent, de 2 à 4 joueurs, dans lequel vous devrez découvrir les numéros qui s'affichent sur votre écran en ne voyant que les numéros des autres joueurs !",https://cdn2.philibertnet.com/549889-large_default/the-lost-code.jpg,https://ludistri.fr/medias-ludistri/logo_ludistri.jpg
Turing Machine,"Fabien Gridel,  Yoann Levet",Scorpion Masqué,1 à 4 joueurs,14 ans,20 mn,Initiés,https://cdn.1j1ju.com/medias/db/65/c2-turing-machine-regle.pdf,"Abstrait, Informatique","Turing Machine est un jeu de déduction compétitif fascinant. C’est une proposition unique qui offre d’interroger un proto-ordinateur fonctionnant sans électricité ni électronique, qui ouvre la voie à une nouvelle génération de jeux de déduction. Le but ? Trouver le code secret avant les autres joueurs, en interrogeant astucieusement la machine. Avec Turing Machine, vous utiliserez un ordinateur mécanique au matériel original composé de cartes perforées.",https://cdn3.philibertnet.com/551298-large_default/turing-machine.jpg,https://www.scorpionmasque.com/sites/scorpionmasque.com/files/logo-100px.png
Clefs magique,"Arno Steinwender, Markus Slawitscheck",Blackrock Games,2 à 4 joueurs,6 ans,25 mn,Enfants,https://cdn.1j1ju.com/medias/5d/6e/3e-clefs-magiques-regle.pdf,Princesse & Trésors,Allons dans la forêt des clés pour retrouver la mémoire du roi ! Retrouvez les magnifiques souvenirs du roi scellés dans le coffre au trésor. La forêt des clés cache les vraies et les fausses clés ! Les aventures vont maintenant commencer !,https://blackrockgames.fr/upload/cache/id:bkEZEkCLSyAAAAAAAARl-gw480h320.jpeg,https://blackrockgames.fr/assets/img/logo_white.png
Settlement,Oleksandr Nevskiy,Blackrock Games,1 à 4 joueurs,10 ans,90 mn,Initiés,https://cdn.1j1ju.com/medias/be/03/2b-settlement-regle.pdf,Médiéval,"Vous êtes le chef des villageois qui ont découvert de nouvelles terres. À l'aide d'artefacts puissants, vous explorerez des terrains, chasserez des monstres, construirez des bâtiments et créerez des fortifications. Collectez des diamants et de l'or et accueillez de puissants héros pour faire de votre colonie la plus célèbre !",https://cdn1.philibertnet.com/555375-large_default/settlement.jpg,https://blackrockgames.fr/assets/img/logo_white.png
Toupies voyageuses,Wlad Watine,Buzzy Games,1 à 4 joueurs,6 ans,30 mn,Tout public,https://en.play-in.com/pdf/rules_games/la_toupie_voyageuse_-_regles_fr.pdf,Toupies,"Le jeu sensationnel de parcours de toupie ! Lance ta toupie à toute vitesse grâce à son propulseur. Voyage à travers 8 mondes merveilleux pour réaliser tes missions : saute les obstacles, touche les cibles et valide ta progression avec des trophées autocollants. Aussi fun en mode solo qu’en mode coopératif.",https://cdn2.philibertnet.com/571465-large_default/la-toupie-voyageuse.jpg,https://buzzygames.net/wp-content/uploads/2020/10/Logo-BUZZY-bleu.png
Orichalque,"Bruno Cathala, Johannes Goupy",Catch Up Games,2 à 4 joueurs,12 ans,45 mn,Initiés,https://cdn.1j1ju.com/medias/88/f6/a1-orichalque-regle.pdf,Antiquité,"La prophétie de l’Atlantide se réalise, le cataclysme arrive ! Vous avez été envoyé à la recherche d’une nouvelle terre d’accueil. Explorez l’île, exploitez ses ressources et débarrassez là des monstres qui l’infestent pour préparer le grand exil !",https://cdn1.philibertnet.com/552815-large_default/orichalque.jpg,https://catchupgames.com/wp-content/uploads/2022/10/logo_fond_blanc.png
After Us,Florian Sirieix,Catch Up Games,1 à 6 joueurs,12 ans,60 mn,Initiés,https://floriansirieix.fr/ressources/AFTERUS_Rulebook_FR.pdf,Univers post-apocalyptique simiesque,"En 2083, l’humanité s’est éteinte depuis plusieurs décennies. Dans ce monde délaissé, les singes se regroupent en tribus et apprivoisent les objets humains. À la tête d’une de ces tribus, vous devez la guider sur la voie de l’intelligence collective.",https://cdn2.philibertnet.com/570326-large_default/after-us.jpg,https://catchupgames.com/wp-content/uploads/2022/10/logo_fond_blanc.png
À la manière d'Arcimboldo,"Nathalie & Rémi Saunier, Marie & Wilfreid Fort",Bankiiiz Editions,3 à 6 joueurs,7 ans,30 mn,Tout public,https://www.dropbox.com/s/hbr3y01wtusbx5w/Rules_Arci_VF.pdf?dl=0,"Œuvre, Fruits & Légumes","Arcimboldo et ses élèves doivent chacun créer une « œuvre » à l’aide des éléments de composition magnétiques, fruits, légumes, fleurs et céréales. Ils devront réaliser la meilleure interprétation d’un titre, composé d’un mot et d’un complément, sans contrainte de temps, puis voter pour leur préférée.",https://cdn1.philibertnet.com/530053-large_default/a-la-maniere-d-arcimboldo.jpg,https://bankiiiz.com/wordpress/wp-content/uploads/2023/01/cropped-Sitewebpngtransparent.png
Gamme Logic - Hôtel,Yoann Levet,Bankiiiz Editions,1 joueur,7 ans,30 mn,Tout public,https://cdn.1j1ju.com/medias/b0/03/cb-gamme-logic-hotel-regle.pdf,Fantastique,"Gamme Logic - Hôtel est un jeu solo qui vous propose de relever 60 défis de logique, à difficulté progressive.",https://cdn3.philibertnet.com/542778-large_default/gamme-logic-hotel.jpg,https://bankiiiz.com/wordpress/wp-content/uploads/2023/01/cropped-Sitewebpngtransparent.png
Gamme Logic - Birds,Yoann Levet,Bankiiiz Editions,1 joueur,7 ans,30 mn,Tout public,https://cdn.1j1ju.com/medias/52/e3/3b-gamme-logic-birds-regle.pdf,Oiseaux,"Gamme Logic - Birds est un jeu solo qui vous propose de relever 60 défis de logique, à difficulté progressive.",https://cdn3.philibertnet.com/542777-large_default/gamme-logic-birds.jpg,https://bankiiiz.com/wordpress/wp-content/uploads/2023/01/cropped-Sitewebpngtransparent.png
That's Not a Hat,Kasper Lapp,Ravensburger,3 à 8 joueurs,8 ans,30 mn,Tout public,https://www.ravensburger.fr/spielanleitungen/ecm/Spielanleitungen/20954%20anl%202257942%20.pdf?ossl=pds_text_Spielanleitung,Cadeaux,"That's not a Hat est un jeu familial qui fera rire toutes les générations de la famille. Mémorisez les cadeaux en jeu et offrez-les vous… Mais attention vos voisins peuvent refuser votre cadeau et vous le renvoyer. Si vous vous ne souvenez plus du cadeau que vous offrez, bluffez bien ! That's not a hat est un jeu dans lequel vous allez devoir retenir de plus en plus de carte… Si vous n'y parvenez pas soyez convaincant en bluffant vos voisins !",https://cdn1.philibertnet.com/565875-large_default/that-s-not-a-hat.jpg,https://cf.geekdo-images.com/FNjyvxby-tnAx1UfqVNwPw__itemrep/img/MxPK4J_urbgkUdEEL9XmE2SewdQ=/fit-in/246x300/filters:strip_icc()/pic417413.jpg
Mindbug,"Richard Garfield , Marvin Hegen, Christian Kudahl, Skaff Elias",Iello,2 joueurs,8 ans,30 mn,Tout public,https://iello.fr/wp-content/uploads/2023/01/Mindbug_Rulebook_FR.pdf,Fantastique,"Dans Mindbug, vous invoquez des créatures hybrides et les envoyez au combat contre votre adversaire - mais lorsque vous invoquez une créature, l'adversaire peut utiliser un de ses Mindbugs pour en prendre le contrôle. Surpassez votre adversaire dans un duel tactique fascinant dans lequel avoir les meilleures cartes et les jouer au mauvais moment peut vous être fatal.",https://cdn1.philibertnet.com/570456-large_default/mindbug.jpg,https://iello.fr/wp-content/uploads/2021/08/logo-iello.svg
Cheese Master,"Alexandre Droit, Johan Benvenuto",Iello,2 à 8 joueurs,8 ans,10 mn,Tout public,https://iello.fr/wp-content/uploads/2023/03/Cheese-Master_Rulebook_FR.pdf,Fromages,"Le Fromage vient d'être servi ! La cuisine est calme. Trop calme. Tout à coup c’est le drame : des morceaux de fromage tombent de la table, et voilà que les souris se précipitent à l’assaut ! Le chat, qui attendait patiemment ce moment, sort alors ses griffes et bondit sur les rongeurs, mais il ne prend pas garde au chien, qui surgit la gueule grande ouverte… Tout ce joli petit monde se poursuit et se chamaille, jusqu’à ce que le tavernier, excédé, ne frappe sur une casserole pour disperser les voleurs. Mais au fait, il y en avait combien, des morceaux de fromage ?   Dans ce jeu d’observation et de rapidité, les joueurs vont devoir déduire le nombre de fromages restants après chaque lancer de dés. L'un des joueurs lance les dés au centre de la table. Chaque joueur se met ensuite à compter le nombre de fromages, suivant le résultat des dés ! Un tableau bien spécial appliquera des effets en fonction des faces de dés tombées lors du lancé. Dès que les joueurs pensent avoir le bon nombre d",https://iello.fr/wp-content/uploads/2022/12/Cheese-Master_Mockup_FR_Reversed_Light-740x969.jpg,https://iello.fr/wp-content/uploads/2021/08/logo-iello.svg
Starship Captains,Peter B. Hoffgaard,Iello,1 à 4 joueurs,12 ans,90 mn,Experts,https://www.play-in.com/pdf/rules_games/starship_captains_regles_fr.pdf,Espace,"Prenez le commandement de votre équipage pour devenir le meilleur capitaine de la galaxie ! Bienvenue à bord et félicitations pour la promotion ! Votre 'nouveau' vaisseau est prêt à embarquer pour son premier grand voyage. Il suffit de gratter un peu la rouille et tout ira bien. Et cet équipage ? Ils ont peut-être l'air un peu verts sur les bords, mais c'est votre équipage maintenant. rendez-nous fiers. Les étoiles vous appellent, et l'aventure vous attend !",https://cdn3.philibertnet.com/567009-large_default/starship-captains.jpg,https://iello.fr/wp-content/uploads/2021/08/logo-iello.svg
Piège obscur,"Christopher Ryan Chan, Rosswell Saunders, Chris McMahon",Iello,1 à 5 joueurs,14 ans,50 mn,Experts,https://iello.fr/wp-content/uploads/2022/11/Piege-Obscur_Rulebook_Light.pdf,Labyrinthe,"Piège Obscur est un jeu de placement de tuiles horrifique, entièrement coopératif, qui piège 1 à 5 âmes perdues dans un labyrinthe surnaturel de ténèbres éternelles.",https://cdn1.philibertnet.com/550488-large_default/piege-obscur.jpg,https://iello.fr/wp-content/uploads/2021/08/logo-iello.svg
L'Année des 5 Empereurs,"Roméo Hennion, L Équipe Ludique, Clément Leclercq",Game Flow,2 à 5 joueurs,12 ans,60 mn,Experts,https://www.game-flow.fr/assets/image/GameOut/5empereurs/5Empereurs_Rules_Light.pdf,Antiquité,"Faites-vous reconnaître comme le seul et légitime Empereur de Rome ! Vous êtes des hauts dignitaires romains et vous allez vous affronter pour devenir le seul et unique empereur de Rome. Préparez votre ascension au pouvoir en achetant des cartes, pour construire votre réseau d’influence (deck). Choisissez le moment opportun pour vous déclarer empereur. Déployez alors vos légions, pour confronter les autres prétendants et gagner des objectifs. Mais attention, car la plupart des objectifs pourront vous être volés en cours de partie. Le premier prétendant à contrôler 4 objectifs en même temps deviendra l’unique empereur de Rome…",https://www.espritjeu.com/upload/image/l-annee-des-5-empereurs-p-image-82250-grande.jpg,https://img.mailinblue.com/3995611/images/rnb/original/6124b1c14ec79830fb0e54b8.png
Dors Dragon d'Or,Jean-Philippe Sahut,Game Flow,2 à 5 joueurs,6 ans,20 mn,Tout public,https://www.game-flow.fr/assets/image/GameOut/Cyclone/Rules_DorsDragonDor_08.pdf,Trésors,"Dans sa caverne, le Dragon D’Or s’est endormi sur son trésor. Les petits aventuriers doivent s’entraider pour récupérer de nombreux objets dans son trésor : l’un d’eux devra guetter le Dragon, alors que les autres doivent retrouver tout leur équipement.",https://cdn1.philibertnet.com/557501-large_default/dors-dragon-d-or.jpg,https://img.mailinblue.com/3995611/images/rnb/original/6124b1c14ec79830fb0e54b8.png
Le Grand Voyage - Migration d’Automne,Charlec Couronnaud,Betula,2 à 8 joueurs,8 ans,20 mn,Tout public,https://www.dropbox.com/s/2hiubqrngkdsqiz/LivretDeRegles-LeGrandVoyage-%28web%29-FRANCAIS.pdf?dl=0,Oiseaux Migrateurs,"Dans cette course vers le soleil, surmontez les périls rencontrés lors de vos vols mais faites halte à temps pour arriver le premier à destination !",https://cdn1.philibertnet.com/569410-large_default/le-grand-voyage-migration-dautomne.jpg,https://momes-ecompagnie.com/img/m/8.jpg
Le Grand Méchant Monstre,"Benoit Turpin, Joan Dufour",Bankiiiz Editions,2 joueurs,5 ans,20 mn,Enfants,https://www.dropbox.com/s/xg541zuffviu2al/LGMM_Rules_FR.pdf?dl=0,Monstres,"C’est la rentrée à l’école des Monstres ! Les élèves sont tous prêts à se mettre au travail pour dessiner le monstre le plus effrayant de l’école, et gagner ainsi le titre de Grand méchant monstre !",https://cdn3.philibertnet.com/570310-large_default/le-gran-mechant-monstre.jpg,https://bankiiiz.com/wordpress/wp-content/uploads/2023/01/cropped-Sitewebpngtransparent.png
Mon P'tit Everdell,James A. Wilson,Matagot,1 à 4 joueurs,6 ans,30 mn,Enfants,https://www.youtube.com/watch?time_continue=194&v=N4qbnhdvfaQ&embeds_euri=https%3A%2F%2Fwww.philibertnet.com%2F&feature=emb_logo,"Animaux, Fantastique","Mon P'tit Everdell ça pourrait être 'mon premier jeu de placement d'ouvriers', 'mon premier jeu de gestions de ressources' et 'mon premier jeu de tableau de cartes' réunis dans l'univers onirique d'Everdell afin de rassembler petits (à partir de 6 ans) et grands autour de la table.",https://cdn3.philibertnet.com/564020-medium_default/mon-p-tit-everdell.jpg,https://matagot-friends.com/france/img/matagot-friends-france-logo-16612714232.jpg
Farm & Furious,Luc Rémond,Loki,2 à 5 joueurs,7 ans,30 mn,Enfants,https://loki-kids.com/telechargements/Farm-and-Furious_Rulebook.pdf,Animaux,"Un jeu de course de relais dans la Basse-Cour, faites entrer en course vos animaux au bon moment pour utiliser leurs capacités judicieusement et vous pourrez passer la ligne d'arrivée en grand vainqueur !",https://cdn2.philibertnet.com/539570-large_default/farm-furious.jpg,https://loki-kids.com/wp-content/uploads/2017/11/logo-loki-final.png
Hâpy Families,Olivier Cipière,Loki,2 à 4 joueurs,5 ans,25 mn,Enfants,https://loki-kids.com/telechargements/Hapy-Families-rulebook.pdf,Antiquité,"En visitant la pyramide, Hâpy pousse accidentellement une porte secrète et découvre une tablette antique. Les dieux sont encore cachés dans la pyramide. Aide-moi à les chercher, nous n'avons pas joué ensemble depuis des siècles ! Hâpy Families est une astucieuse revisite du traditionnel jeu des 7 familles qui remet au goût du jour cette mécanique plus qu'éprouvée.",https://cdn2.philibertnet.com/539563-large_default/hapy-families.jpg,https://loki-kids.com/wp-content/uploads/2017/11/logo-loki-final.png
Les Animaux de Baker Street,"Dave Neale, Clémentine Beauvais",Iello,1 à 4 joueurs,10 ans,45 mn,Tout public,https://www.philibertnet.com/fr/index.php?controller=attachment&id_attachment=5882,Animaux,"Les Animaux de Baker Street est un jeu d'enquête coopérative pour 1 à 4 joueurs au 19e siècle dans un Londres aussi mignon que captivant. Il va vous falloir enquêter sur des mystères que même Sherlock Holmes, le plus grand des détectives, ne soupçonne pas toujours...",https://cdn1.philibertnet.com/546400-large_default/les-animaux-de-baker-street.jpg,https://iello.fr/wp-content/uploads/2021/08/logo-iello.svg
Kamon,Bruno Cathala,Cosmoludo,2 joueurs,8 ans,30 mn,Tout public,https://www.cosmoludo.com/_files/ugd/774d61_3a04f478d43f47beb411c9a2e4fe53ac.pdf,Abstrait,"Kamon est un jeu de stratégie interactif où vous prendrez plaisir à combiner logique, finesse et réflexion. Pour gagner, reliez deux bords du plateau, encerclez ou bloquez votre adversaire.",https://cdn2.philibertnet.com/480009-large_default/kamon.jpg,"https://static.wixstatic.com/media/774d61_fb0d3991b39c4cbfbb2888921b46449a~mv2.png/v1/fill/w_67,h_67,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/logo-05_edi"
Yoxii,Jérémy Partinico,Cosmoludo,2 joueurs,8 ans,30 mn,Tout public,https://www.cosmoludo.com/_files/ugd/774d61_62ac7cf77c7b43ff80518bfa536d6d7e.pdf,Abstrait,"Pour gagner au Yoxii, vous devrez encercler le Totem avec vos pièces les plus fortes. Chaque joueur/se à son tour déplace le Totem d'une case et place une de ses pièces sur le plateau. Attention, vous pourrez sauter par dessus vos pièces pour aller là où le terrain vous est favorable. Un jeu abstrait puissant, qui mélange Échecs et Go mais qui ne ressemble ni à l'un, ni à l'autre. Dans cet univers abstrait et minimal, vous apprendrez vite à trouver les positions d'attaque et à vous défendre. Amusement garanti.",https://cdn2.philibertnet.com/529972-large_default/yoxii.jpg,"https://static.wixstatic.com/media/774d61_fb0d3991b39c4cbfbb2888921b46449a~mv2.png/v1/fill/w_67,h_67,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/logo-05_edi"
Hokito,Claude Leroy,Cosmoludo,2 joueurs,8 ans,10 mn,Tout public,https://www.cosmoludo.com/_files/ugd/774d61_60f257ed976d4eab91b3934483493139.pdf,Abstrait,"Dans Hokito, accumulez le plus de points en prenant le contrôle des tours de votre adversaire, créez des ponts et des chemins pour atteindre vos objectifs.",https://cdn1.philibertnet.com/484874-large_default/hokito.jpg,"https://static.wixstatic.com/media/774d61_fb0d3991b39c4cbfbb2888921b46449a~mv2.png/v1/fill/w_67,h_67,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/logo-05_edi"
Swip'Sheep,Yann Dupont,Djeco,3 à 5 joueurs,5 ans,20 mn,Enfants,https://www.djeco.com/data/rules/DJ05145_FR.pdf,Animaux,"Découvrez le jeu de cartes Swip'Sheep de Djeco, un jeu de stratégie simple où réflexion et stratégie seront nécessaires pour déjouer les malices de ce jeu, un jeu de cartes pour les enfants à partir de 5 ans. Les loups attaquent, les chiens défendent; les moutons eux rapportent des points. Encore faut-il réussir à conserver ceux que l'on a en main et à piquer ceux de vos adversaires.",https://cdn3.philibertnet.com/467923-large_default/swipship.jpg,https://upload.wikimedia.org/wikipedia/fr/thumb/1/18/Logo_Djeco.svg/langfr-280px-Logo_Djeco.svg.png
Mysterix,,Djeco,2 à 5 joueurs,4 ans,30 mn,Enfants,https://www.djeco.com/data/rules/DJ05096_FR.pdf,Trouver L'intrus,Mysterix est un jeu d'observation et de rapidité pour les enfants à partir de 4 ans. Les joueurs exercent leur oeil lynx en débusquant les intrus qui se sont glissés dans les images.,https://cdn2.philibertnet.com/501537-large_default/mysterix.jpg,https://upload.wikimedia.org/wikipedia/fr/thumb/1/18/Logo_Djeco.svg/langfr-280px-Logo_Djeco.svg.png
Piou Piou,Thierry Chapeau,Djeco,2 à 5 joueurs,6 ans,30 mn,Enfants,https://www.djeco.com/data/rules/DJ05119_FR.pdf,Animaux,Un jeu de stratégie. Panique dans le poulailler : le renard rôde et les œufs n'ont pas encore éclos ... Cot Cot codek!,https://cdn2.philibertnet.com/455837-large_default/piou-piou.jpg,https://upload.wikimedia.org/wikipedia/fr/thumb/1/18/Logo_Djeco.svg/langfr-280px-Logo_Djeco.svg.png
Pin Pon !,Julie Bregeot,Djeco,2 à 4 joueurs,3 ans,30 mn,Enfants,https://www.djeco.com/data/rules/DJ08571_FR.pdf,Pompiers,"Pin Pon ! est un jeu de société familial aux règles simples, parfait pour apprendre à jouer, à gagner ou à perdre tous ensemble. Un feu s'est déclaré... la sirène retentit dans la caserne! Saurez-vous aider les pompiers à arriver à temps pour éteindre les flammes et sauver la maison?",https://cdn3.philibertnet.com/516358-large_default/pinpon-.jpg,https://upload.wikimedia.org/wikipedia/fr/thumb/1/18/Logo_Djeco.svg/langfr-280px-Logo_Djeco.svg.png
